0,8.237652056,0.112413657,0,7.399325323,0.238827297
1,4.969630449,0.232547524,2,8.456641951,0.190102343
2,4.480681364,0.16580193,4,9.09376036,0.074059077
3,3.648343672,0.584107574,6,9.122756334,0.115065576
5,3.040519948,0.431241044,,,
7,1.565017847,0.458229597,,,
9,1.427605507,0.116888829,,,
11,1.326242726,0.061462014,,,
13,1.25050335,0.196514422,,,
0,8.385324902,0.192960828,,,
1,5.079181246,0.143777911,,,
2,4.185673429,0.216716169,,,
3,3.572760558,0.480063434,,,
4,4.10564746,0.534862526,,,
5,4.827985062,0.612166438,,,
6,1.145705364,0.210438843,,,
7,0.451544993,0.301029996,,,
8,0.200257499,0.25059692,,,
9,0.405812323,0.469388077,,,
10,0.854658172,0.625372016,,,
11,0.34505281,0.434729973,,,
12,0,0,,,
13,0,0,,,